Third Level Statistical Building Block (Middle-Layer Super Output Area) codes mapping to POLAR4,,,,,
England,E02004906,4,250,595,41.5%
England,E02004907,5,340,560,60.3%
England,E02004908,5,415,495,83.8%
England,E02004909,2,85,330,25.8%
England,E02004910,4,275,700,39.3%
England,E02004911,2,120,395,30.8%
England,E02004912,4,325,790,40.9%
England,E02004913,5,360,725,49.8%
England,E02004914,3,150,405,37.7%
England,E02004915,2,125,410,30.4%
England,E02004916,5,290,515,56.4%
England,E02004917,4,190,480,39.4%
England,E02004918,5,225,445,50.7%
England,E02004919,4,195,480,40.4%
England,E02004920,4,330,665,49.3%
England,E02004921,5,255,485,52.9%
England,E02004922,5,300,600,50.3%
England,E02004923,5,390,595,65.6%
England,E02004924,5,385,560,68.7%
England,E02004925,5,315,520,59.9%
England,E02004926,5,380,410,92.4%
England,E02004927,5,250,395,63.6%
England,E02004928,5,390,430,91.4%
England,E02004929,5,195,340,56.8%
England,E02004930,5,250,445,56.1%
England,E02004931,5,265,465,57.1%
England,E02004932,4,220,535,41.6%
England,E02004933,5,355,455,78.6%
England,E02004934,5,240,335,71.1%
England,E02004935,5,150,200,76.1%
England,E02004936,5,240,475,50.8%
England,E02004937,5,230,220,100.0%
England,E02004938,5,180,345,52.8%
England,E02004939,5,195,355,54.8%
England,E02004940,4,160,385,41.2%
England,E02004941,3,240,660,36.6%
England,E02004942,5,180,360,50.3%
England,E02004943,5,290,520,56.1%
England,E02004944,2,145,525,27.9%
England,E02004945,3,295,755,39.0%
England,E02004946,2,130,520,25.3%
England,E02004947,4,205,490,41.4%
England,E02004948,3,110,340,32.8%
England,E02004949,1,120,525,22.8%
England,E02004950,2,125,530,23.9%
England,E02004951,1,110,520,20.8%
England,E02004952,2,160,545,29.0%
England,E02004953,1,115,550,20.8%
England,E02004954,2,125,480,25.9%
England,E02004955,1,100,450,22.4%
England,E02004956,4,265,565,46.7%
England,E02004957,3,235,625,37.5%
England,E02004958,5,310,490,63.8%
England,E02004959,5,270,260,100.0%
England,E02004960,5,300,365,82.1%
England,E02004961,5,320,615,52.2%
England,E02004962,5,265,455,58.3%
England,E02004963,3,195,525,37.0%
England,E02004964,3,110,335,33.1%
England,E02004965,4,185,435,42.6%
England,E02004966,5,385,230,100.0%
England,E02004967,1,105,520,20.1%
England,E02004968,2,155,520,29.3%
England,E02004969,3,200,560,35.4%
England,E02004970,2,150,505,29.6%
England,E02004971,3,210,580,36.5%
England,E02004972,4,170,390,43.5%
England,E02004973,3,150,385,39.1%
England,E02004974,5,255,355,71.5%
England,E02004975,5,380,515,74.2%
England,E02004976,3,100,275,36.5%
England,E02004977,4,210,460,45.4%
England,E02004978,3,195,510,38.0%
England,E02004979,5,235,440,53.3%
England,E02004980,5,235,325,72.5%
England,E02004981,5,230,440,52.5%
England,E02004982,4,205,420,48.6%
England,E02004983,3,120,365,33.0%
England,E02004984,4,180,410,44.3%
England,E02004985,5,250,410,61.1%
England,E02004986,1,110,605,18.2%
England,E02004987,2,150,485,30.6%
England,E02004988,2,130,455,28.9%
England,E02004989,3,165,445,36.8%
England,E02004990,4,125,295,43.0%
England,E02004991,2,95,350,26.7%
England,E02004992,2,105,405,25.6%
England,E02004993,3,115,290,38.9%
England,E02004994,5,300,330,89.8%
England,E02004995,5,240,250,95.2%
England,E02004996,4,200,475,42.0%
England,E02004997,4,190,480,39.9%
England,E02004998,3,180,480,37.5%
England,E02004999,3,275,845,32.4%
England,E02005000,1,140,630,22.3%
England,E02005001,2,195,670,29.3%
England,E02005002,1,105,590,17.5%
England,E02005003,1,110,775,14.2%
England,E02005004,2,235,835,28.1%
England,E02005005,4,170,425,40.4%
England,E02005006,4,165,375,44.3%
England,E02005007,3,190,555,34.1%
England,E02005008,4,185,460,40.1%
England,E02005009,4,155,375,41.2%
England,E02005010,3,135,430,32.0%
England,E02005011,3,140,430,32.1%
England,E02005012,2,180,670,27.0%
England,E02005013,1,135,575,23.1%
England,E02005014,4,215,545,40.0%
England,E02005015,3,195,610,31.8%
England,E02005016,3,175,555,31.8%
England,E02005017,2,135,430,31.0%
England,E02005018,2,145,475,30.8%
England,E02005019,5,175,345,50.5%
England,E02005020,3,140,440,31.9%
England,E02005021,5,220,325,68.0%
England,E02005022,3,150,410,36.2%
England,E02005023,2,105,400,26.8%
England,E02005025,5,265,390,67.6%
England,E02005026,5,220,430,51.1%
England,E02005027,5,225,390,58.4%
England,E02005028,1,90,460,19.2%
England,E02005029,3,140,425,32.5%
England,E02005030,3,210,550,38.4%
England,E02005031,1,70,470,14.9%
England,E02005032,2,130,495,26.2%
England,E02005033,1,70,380,18.2%
England,E02005034,4,280,630,44.8%
England,E02005035,2,170,560,30.1%
England,E02005036,2,130,500,25.5%
England,E02005037,4,195,470,41.9%
England,E02005038,4,150,355,41.9%
England,E02005039,2,125,520,24.1%
England,E02005040,4,220,465,47.1%
England,E02005041,4,200,430,46.7%
England,E02005042,3,235,595,39.0%
England,E02005043,2,135,480,28.6%
England,E02005044,3,130,345,37.8%
England,E02005045,1,130,610,21.5%
England,E02005046,1,100,500,20.0%
England,E02005047,2,165,560,29.1%
England,E02005048,3,155,400,38.1%
England,E02005049,4,170,365,46.6%
England,E02005050,4,225,545,40.8%
England,E02005051,1,160,1040,15.2%
England,E02005052,2,105,370,28.5%
England,E02005053,1,125,580,21.2%
England,E02005054,3,150,410,36.9%
England,E02005055,2,125,445,28.6%
England,E02005056,3,165,450,36.7%
England,E02005057,3,215,665,32.8%
England,E02005058,1,130,565,23.3%
England,E02005059,4,295,715,41.1%
England,E02005060,2,140,565,24.6%
England,E02005061,1,130,550,23.7%
England,E02005062,2,140,565,25.1%
England,E02005063,3,185,520,35.3%
England,E02005064,4,160,395,40.6%
England,E02005065,1,120,615,19.4%
England,E02005066,4,215,505,42.5%
England,E02005067,3,175,455,38.8%
England,E02005068,4,210,530,39.5%
England,E02005069,4,210,500,41.8%
England,E02005070,4,245,510,47.9%
England,E02005071,2,120,450,26.5%
England,E02005072,4,285,580,48.9%
England,E02005073,4,205,525,39.5%
England,E02005074,5,235,475,50.0%
England,E02005075,3,225,670,33.5%
England,E02005076,1,125,580,21.7%
England,E02005077,1,140,650,21.6%
England,E02005078,3,160,475,33.6%
England,E02005079,4,215,490,44.3%
England,E02005080,1,90,770,11.5%
England,E02005081,4,155,365,42.9%
England,E02005082,4,245,585,41.7%
England,E02005083,3,160,420,38.0%
England,E02005084,4,140,330,42.4%
England,E02005085,5,220,405,54.7%
England,E02005086,3,150,380,39.2%
England,E02005087,3,210,560,37.2%
England,E02005088,1,125,690,18.0%
England,E02005089,3,150,440,34.2%
England,E02005090,4,165,370,45.1%
England,E02005091,4,155,375,41.6%
England,E02005093,3,125,380,32.9%
England,E02005094,5,215,420,50.6%
England,E02005095,5,225,400,56.3%
England,E02005096,4,265,545,48.5%
England,E02005097,5,435,495,87.0%
England,E02005098,5,455,385,100.0%
England,E02005099,5,245,365,67.0%
England,E02005100,3,165,515,32.3%
England,E02005101,5,295,380,78.2%
England,E02005102,4,180,400,45.4%
England,E02005103,2,200,690,28.8%
England,E02005104,1,165,730,22.8%
England,E02005105,1,105,560,19.0%
England,E02005106,2,185,725,25.6%
England,E02005107,3,300,835,35.8%
England,E02005109,5,180,315,58.0%
England,E02005110,3,155,450,35.0%
England,E02005111,2,110,365,29.8%
England,E02005112,1,95,440,21.8%
England,E02005113,1,95,460,20.9%
England,E02005114,1,65,455,14.8%
England,E02005115,1,70,420,17.1%
England,E02005116,1,40,465,8.8%
England,E02005117,1,100,470,21.2%
England,E02005118,1,125,675,18.6%
England,E02005119,1,65,400,16.5%
England,E02005120,1,80,475,17.2%
England,E02005121,2,225,845,26.6%
England,E02005122,4,215,495,43.8%
England,E02005123,3,230,730,31.8%
England,E02005124,1,105,590,17.4%
England,E02005125,1,120,560,21.4%
England,E02005126,2,165,530,31.2%
England,E02005127,4,305,635,48.0%
England,E02005128,2,145,535,26.6%
England,E02005129,3,205,640,32.0%
England,E02005130,3,175,505,34.5%
England,E02005131,4,165,390,42.0%
England,E02005132,1,105,475,22.6%
England,E02005133,3,205,530,38.2%
England,E02005134,1,90,570,16.0%
England,E02005135,1,120,565,21.3%
England,E02005136,2,165,675,24.3%
England,E02005137,1,140,665,21.1%
England,E02005138,1,125,550,23.0%
England,E02005139,3,155,395,38.8%
England,E02005140,4,200,440,45.3%
England,E02005141,4,195,420,46.3%
England,E02005142,3,180,560,31.7%
England,E02005143,2,165,610,27.3%
England,E02005144,1,125,805,15.3%
England,E02005145,3,145,410,35.9%
England,E02005146,2,165,560,29.3%
England,E02005147,2,125,405,30.5%
England,E02005148,3,195,500,38.9%
England,E02005149,3,260,765,34.3%
England,E02005150,1,140,690,20.2%
England,E02005151,2,270,940,28.9%
England,E02005153,2,170,575,30.0%
England,E02005154,5,385,640,60.2%
England,E02005155,5,295,595,49.8%
England,E02005156,4,215,465,46.2%
England,E02005157,2,145,485,29.6%
England,E02005158,5,255,485,52.8%
England,E02005159,4,260,550,47.8%
England,E02005160,4,325,665,48.8%
England,E02005161,4,255,585,43.8%
England,E02005162,3,260,700,37.1%
England,E02005163,5,305,600,50.7%
England,E02005164,4,190,450,42.1%
England,E02005165,5,270,515,52.1%
England,E02005166,1,75,420,18.3%
England,E02005167,5,330,490,67.3%
England,E02005168,5,330,480,68.5%
England,E02005169,5,180,235,76.7%
England,E02005170,5,230,420,55.0%
England,E02005171,2,110,390,28.8%
England,E02005172,5,320,480,67.0%
England,E02005173,5,310,425,72.8%
England,E02005174,5,300,565,53.1%
England,E02005175,5,300,520,57.7%
England,E02005176,3,225,700,31.9%
England,E02005177,2,90,350,25.4%
England,E02005178,2,205,675,30.2%
England,E02005179,1,125,645,19.0%
England,E02005180,4,220,560,39.4%
England,E02005181,2,110,450,24.3%
England,E02005182,1,75,360,20.5%
England,E02005183,2,130,460,28.1%
England,E02005184,4,135,310,43.2%
England,E02005185,1,115,635,17.9%
England,E02005186,3,155,440,35.3%
England,E02005189,1,95,400,23.6%
England,E02005190,5,250,420,60.3%
England,E02005191,4,275,565,48.7%
England,E02005192,5,220,390,56.7%
England,E02005193,5,265,530,49.5%
England,E02005194,4,205,520,39.4%
England,E02005195,5,215,380,56.5%
England,E02005196,4,190,405,46.7%
England,E02005197,2,120,465,25.6%
England,E02005198,3,175,505,35.1%
England,E02005199,4,240,490,48.6%
England,E02005200,2,195,625,31.2%
England,E02005201,3,175,515,33.5%
England,E02005202,4,260,550,47.4%
England,E02005203,5,275,480,57.5%
England,E02005204,5,315,625,50.5%
England,E02005205,4,200,420,47.4%
England,E02005206,4,180,405,44.0%
England,E02005207,5,225,370,60.0%
England,E02005208,5,260,505,51.8%
England,E02005209,4,230,510,45.0%
England,E02005210,5,355,455,78.8%
England,E02005211,5,240,330,72.3%
England,E02005212,3,245,750,32.4%
England,E02005213,2,295,930,31.5%
England,E02005214,3,180,515,34.5%
England,E02005215,2,245,825,30.0%
England,E02005216,2,110,450,24.8%
England,E02005217,2,290,1050,27.6%
England,E02005218,2,130,510,25.2%
England,E02005219,3,235,640,36.4%
England,E02005220,2,125,405,30.4%
England,E02005221,3,245,670,36.8%
England,E02005222,4,195,410,47.4%
England,E02005223,5,220,440,49.7%
England,E02005224,4,110,260,43.2%
England,E02005225,4,165,345,47.4%
England,E02005226,1,125,560,22.6%
England,E02005228,2,130,480,26.9%
England,E02005229,1,70,425,16.9%
England,E02005230,1,90,420,21.8%
England,E02005231,1,120,565,21.5%
England,E02005233,4,180,455,39.3%
England,E02005234,4,90,200,45.0%
England,E02005235,3,60,180,32.8%
England,E02005236,2,230,870,26.4%
England,E02005237,5,350,640,54.5%
England,E02005238,3,135,370,36.8%
England,E02005239,4,195,445,44.2%
England,E02005240,2,105,365,28.4%
England,E02005241,2,110,355,31.1%
England,E02005242,3,135,420,32.3%
England,E02005243,2,95,375,24.8%
England,E02005244,1,105,455,22.6%
England,E02005245,3,160,435,37.1%
England,E02005246,1,75,350,21.9%
England,E02005247,5,295,515,56.9%
England,E02005248,3,165,515,31.8%
England,E02005249,2,155,610,25.7%
England,E02005250,4,220,540,40.8%
England,E02005251,3,185,560,32.9%
England,E02005252,4,290,665,43.5%
England,E02005253,5,250,415,60.3%
England,E02005254,5,305,435,70.5%
England,E02005255,5,335,650,51.4%
England,E02005256,5,265,445,59.2%
England,E02005257,2,95,320,29.0%
England,E02005258,5,345,535,64.3%
England,E02005259,2,195,760,25.6%
England,E02005260,4,215,505,42.6%
England,E02005261,1,155,875,17.9%
England,E02005262,5,225,445,50.6%
England,E02005263,4,160,365,43.2%
England,E02005264,2,145,505,28.7%
England,E02005265,2,230,740,31.0%
England,E02005266,2,130,435,30.2%
England,E02005267,3,130,350,37.4%
England,E02005268,3,240,615,38.9%
England,E02005269,4,180,400,45.3%
England,E02005270,5,265,440,59.7%
England,E02005271,4,260,535,48.5%
England,E02005272,3,170,485,34.7%
England,E02005273,5,175,350,50.1%
England,E02005274,5,260,445,58.0%
England,E02005275,4,165,395,41.8%
England,E02005276,5,340,545,62.2%
England,E02005277,5,400,580,69.1%
England,E02005278,4,265,570,46.2%
England,E02005279,4,305,760,39.8%
England,E02005280,2,225,765,29.1%
England,E02005281,3,230,615,37.0%
England,E02005284,5,220,410,53.6%
England,E02005285,4,195,420,46.6%
England,E02005286,3,190,585,32.7%
England,E02005287,5,225,380,60.1%
England,E02005288,4,165,365,46.0%
England,E02005289,5,270,480,56.0%
England,E02005290,4,215,435,49.3%
England,E02005291,3,150,405,37.4%
England,E02005292,2,115,370,30.9%
England,E02005293,2,100,335,30.5%
England,E02005294,2,140,440,31.4%
England,E02005295,3,190,505,38.0%
England,E02005296,5,215,400,53.3%
England,E02005297,4,260,555,47.2%
England,E02005298,3,175,485,36.2%
England,E02005299,3,145,430,33.4%
England,E02005300,4,150,385,39.4%
England,E02005301,3,145,450,32.3%
England,E02005302,4,200,450,44.8%
England,E02005303,2,125,450,27.2%
England,E02005304,4,270,590,45.5%
England,E02005305,4,215,480,44.6%
England,E02005306,5,200,390,50.8%
England,E02005307,3,225,625,36.1%
England,E02005308,5,265,395,66.3%
England,E02005309,4,235,520,45.0%
England,E02005310,5,185,350,52.3%
England,E02005311,5,185,320,58.0%
England,E02005312,4,185,445,41.9%
England,E02005313,1,135,760,18.1%
England,E02005314,2,105,430,24.6%
England,E02005315,5,350,520,67.9%
England,E02005316,1,110,525,21.4%
England,E02005317,1,110,665,16.4%
England,E02005318,4,205,480,42.9%
England,E02005319,2,140,590,24.1%
England,E02005320,2,135,450,30.2%
England,E02005321,2,100,390,25.8%
England,E02005322,3,210,570,36.9%
England,E02005323,2,135,515,26.3%
England,E02005324,5,210,420,50.3%
England,E02005325,4,240,525,46.1%
England,E02005326,3,195,550,35.7%
England,E02005327,4,175,365,48.1%
England,E02005328,5,235,460,51.3%
England,E02005329,3,215,585,37.0%
England,E02005330,4,245,530,46.0%
England,E02005331,5,235,420,55.7%
England,E02005332,5,275,505,54.7%
England,E02005334,4,170,425,39.9%
England,E02005335,5,220,415,52.9%
England,E02005336,3,130,405,32.7%
England,E02005337,3,245,680,35.7%
England,E02005338,2,220,720,30.8%
England,E02005339,3,235,635,36.7%
England,E02005340,2,185,585,31.4%
England,E02005341,3,170,520,32.2%
England,E02005342,3,170,490,34.8%
England,E02005343,4,205,510,39.9%
England,E02005344,2,130,445,29.5%
England,E02005345,4,155,360,42.3%
England,E02005346,3,180,510,35.0%
England,E02005347,3,110,320,34.2%
England,E02005348,4,185,415,44.2%
England,E02005349,3,145,440,33.3%
England,E02005350,3,160,425,37.1%
England,E02005351,3,140,415,33.9%
England,E02005352,5,220,305,72.0%
England,E02005353,2,190,610,30.9%
England,E02005354,5,370,525,70.0%
England,E02005355,5,210,425,50.1%
England,E02005356,5,230,310,74.3%
England,E02005357,2,150,530,28.2%
England,E02005358,3,260,680,38.3%
England,E02005359,3,165,425,38.2%
England,E02005360,5,305,280,100.0%
England,E02005361,4,190,395,48.8%
England,E02005362,3,160,450,36.0%
England,E02005363,4,190,445,42.8%
England,E02005364,3,155,415,37.0%
England,E02005365,3,230,600,37.9%
England,E02005366,2,105,400,25.8%
England,E02005368,5,235,295,80.1%
England,E02005369,5,340,600,56.5%
England,E02005370,3,260,690,37.7%
England,E02005371,4,305,660,46.3%
England,E02005372,5,300,595,50.2%
England,E02005373,4,270,595,45.4%
England,E02005374,2,115,370,31.2%
England,E02005375,4,215,495,42.9%
England,E02005376,3,225,675,33.5%
England,E02005377,4,220,515,42.8%
England,E02005378,4,150,380,39.3%
England,E02005379,3,160,420,38.2%
England,E02005380,4,220,465,47.8%
England,E02005381,3,180,530,33.7%
England,E02005382,1,135,575,23.4%
England,E02005383,1,140,630,22.0%
England,E02005384,4,145,355,40.6%
England,E02005385,4,200,450,44.7%
England,E02005386,2,125,490,25.3%
England,E02005387,2,125,510,24.2%
England,E02005388,2,90,335,27.5%
England,E02005389,3,105,330,32.1%
England,E02005390,4,240,550,44.0%
England,E02005391,4,295,600,48.7%
England,E02005392,3,225,585,38.8%
England,E02005393,4,160,385,41.6%
England,E02005394,1,130,570,23.2%
England,E02005395,2,195,680,28.4%
England,E02005396,5,195,355,55.3%
England,E02005397,4,195,455,42.5%
England,E02005398,4,145,305,47.2%
England,E02005399,4,190,455,41.8%
England,E02005400,2,100,335,29.8%
England,E02005401,5,175,340,51.7%
England,E02005402,4,190,440,43.6%
England,E02005403,2,130,460,28.6%
England,E02005404,3,180,520,34.8%
England,E02005405,1,100,510,19.9%
England,E02005406,1,105,445,23.4%
England,E02005407,2,160,540,29.2%
England,E02005408,3,180,485,36.7%
England,E02005409,2,185,735,25.0%
England,E02005412,4,305,645,47.1%
England,E02005414,2,145,590,24.5%
England,E02005415,1,110,470,23.2%
England,E02005416,3,235,615,38.4%
England,E02005417,2,145,545,26.8%
England,E02005418,1,110,615,17.9%
England,E02005419,2,125,410,30.6%
England,E02005420,1,115,540,21.1%
England,E02005422,2,110,400,27.7%
England,E02005423,1,145,640,22.7%
England,E02005424,3,275,745,36.8%
England,E02005425,2,145,470,30.9%
England,E02005426,2,190,730,26.1%
England,E02005427,4,175,400,43.8%
England,E02005428,1,110,510,21.1%
England,E02005429,1,60,320,19.4%
England,E02005430,3,145,415,34.6%
England,E02005431,2,165,630,25.9%
England,E02005432,3,175,450,38.9%
England,E02005433,1,50,345,14.7%
England,E02005434,3,155,410,38.2%
England,E02005435,1,90,415,21.7%
England,E02005436,2,120,450,26.4%
England,E02005437,2,100,390,25.7%
England,E02005438,1,90,440,20.4%
England,E02005439,3,235,700,33.7%
England,E02005440,2,90,370,24.0%
England,E02005441,2,175,600,29.1%
England,E02005442,1,90,390,23.4%
England,E02005443,2,115,390,29.3%
England,E02005444,5,260,505,52.1%
England,E02005445,1,155,755,20.5%
England,E02005446,4,85,180,46.5%
England,E02005447,2,60,245,24.0%
England,E02005448,1,90,500,17.8%
England,E02005449,2,135,430,31.1%
England,E02005450,2,155,530,29.6%
England,E02005451,1,85,585,14.5%
England,E02005452,2,245,865,28.2%
England,E02005453,4,300,705,42.4%
England,E02005455,3,260,750,34.8%
England,E02005456,2,190,630,30.4%
England,E02005457,3,200,545,36.5%
England,E02005458,5,165,325,51.2%
England,E02005459,2,150,585,25.3%
England,E02005460,3,125,345,36.6%
England,E02005461,4,160,400,39.6%
England,E02005462,2,205,675,30.7%
England,E02005463,4,305,710,42.9%
England,E02005464,3,205,570,36.4%
England,E02005465,2,150,565,26.6%
England,E02005466,1,115,505,22.4%
England,E02005467,2,105,450,23.8%
England,E02005468,3,160,500,31.9%
England,E02005469,3,155,470,33.1%
England,E02005470,3,175,540,32.9%
England,E02005471,2,130,510,25.5%
England,E02005472,1,120,585,20.7%
England,E02005473,3,175,545,32.0%
England,E02005474,2,115,400,28.8%
England,E02005475,3,140,435,32.0%
England,E02005476,5,240,485,49.6%
England,E02005477,5,300,600,49.9%
England,E02005478,2,230,770,30.0%
England,E02005479,4,260,575,45.4%
England,E02005480,1,85,670,12.5%
England,E02005481,2,185,705,26.3%
England,E02005482,4,290,660,44.0%
England,E02005483,3,210,595,35.7%
England,E02005484,4,175,390,45.4%
England,E02005485,4,190,480,40.1%
England,E02005486,4,225,535,42.1%
England,E02005487,5,335,575,58.3%
England,E02005488,4,215,465,46.2%
England,E02005489,4,225,490,46.2%
England,E02005490,3,175,500,34.8%
England,E02005491,5,285,400,71.4%
England,E02005492,4,295,740,39.6%
England,E02005493,3,225,675,33.0%
England,E02005494,3,235,600,38.8%
England,E02005495,1,125,685,18.0%
England,E02005496,2,130,430,30.6%
England,E02005497,1,80,565,13.8%
England,E02005498,3,185,480,38.1%
England,E02005499,4,295,675,43.7%
England,E02005500,4,185,450,41.2%
England,E02005501,5,260,510,50.7%
England,E02005502,2,155,490,31.6%
England,E02005503,3,140,400,35.4%
England,E02005504,3,160,505,32.0%
England,E02005505,2,135,475,28.7%
England,E02005506,2,140,480,29.3%
England,E02005507,2,160,655,24.4%
England,E02005508,3,150,445,33.8%
England,E02005509,1,85,365,23.4%
England,E02005510,2,115,375,30.7%
England,E02005511,1,75,415,17.7%
England,E02005512,2,140,475,29.4%
England,E02005513,2,160,560,28.8%
England,E02005514,2,90,335,26.4%
England,E02005515,3,175,505,35.1%
England,E02005516,3,150,415,35.7%
England,E02005517,1,50,420,12.4%
England,E02005518,1,125,535,23.0%
England,E02005519,1,105,595,17.3%
England,E02005520,3,150,450,33.4%
England,E02005521,4,220,545,40.2%
England,E02005522,4,125,310,40.6%
England,E02005523,2,130,500,26.0%
England,E02005524,1,85,375,23.1%
England,E02005525,3,265,730,36.2%
England,E02005526,3,120,360,34.0%
England,E02005527,4,185,470,39.4%
England,E02005528,3,170,495,34.7%
England,E02005529,2,90,345,25.9%
England,E02005530,2,105,330,31.1%
England,E02005531,2,100,405,25.2%
England,E02005532,2,110,365,30.5%
England,E02005533,4,225,470,47.6%
England,E02005534,2,135,440,31.0%
England,E02005535,4,205,440,46.6%
England,E02005536,3,140,355,39.2%
England,E02005537,3,120,365,33.1%
England,E02005538,2,175,605,29.0%
England,E02005539,2,145,490,29.7%
England,E02005540,2,140,585,24.2%
England,E02005541,1,100,530,19.1%
England,E02005542,1,65,390,17.1%
England,E02005543,1,75,515,14.8%
England,E02005544,1,70,510,14.0%
England,E02005545,1,105,455,23.2%
England,E02005546,1,90,495,18.2%
England,E02005547,2,165,620,26.8%
England,E02005548,1,85,510,16.8%
England,E02005549,2,105,385,26.7%
England,E02005550,2,120,410,29.6%
England,E02005551,1,55,235,22.7%
England,E02005552,3,110,310,35.6%
England,E02005553,2,115,410,28.1%
England,E02005554,2,105,370,27.8%
England,E02005555,4,215,460,46.4%
England,E02005556,1,115,570,19.9%
England,E02005557,1,40,400,10.5%
England,E02005558,1,105,490,21.1%
England,E02005559,1,90,525,17.4%
England,E02005560,1,100,540,18.5%
England,E02005561,1,80,470,17.4%
England,E02005562,3,140,405,34.6%
England,E02005563,1,125,565,22.2%
England,E02005564,2,160,510,31.4%
England,E02005565,1,105,455,23.6%
England,E02005566,1,145,660,21.7%
England,E02005567,2,130,460,27.8%
England,E02005568,3,135,425,32.2%
England,E02005569,1,80,410,19.7%
England,E02005570,3,125,365,34.1%
England,E02005571,3,115,305,37.2%
England,E02005572,2,90,315,28.1%
England,E02005573,3,70,185,38.6%
England,E02005574,3,135,350,38.2%
England,E02005575,4,170,395,42.9%
England,E02005576,2,95,375,25.7%
England,E02005577,3,125,335,37.8%
England,E02005578,2,85,355,24.2%
England,E02005579,1,180,770,23.2%
England,E02005580,1,110,490,22.5%
England,E02005581,3,140,400,35.7%
England,E02005582,2,110,360,30.2%
England,E02005583,3,130,380,34.8%
England,E02005584,1,115,585,19.6%
England,E02005585,1,90,670,13.3%
England,E02005586,1,95,415,22.6%
England,E02005587,1,90,630,14.4%
England,E02005588,1,100,715,13.8%
England,E02005589,1,130,705,18.2%
England,E02005590,4,85,190,45.0%
England,E02005592,5,205,320,63.0%
England,E02005593,1,115,495,23.3%
England,E02005594,5,210,325,64.3%
England,E02005595,5,285,445,63.9%
England,E02005596,1,105,580,17.9%
England,E02005597,2,160,610,25.9%
England,E02005598,5,235,360,65.5%
England,E02005599,5,165,330,49.6%
England,E02005600,4,135,330,40.7%
England,E02005601,4,145,340,42.8%
England,E02005602,4,295,665,44.2%
England,E02005603,4,235,590,39.8%
England,E02005604,4,270,545,49.4%
England,E02005605,4,255,570,44.5%
England,E02005606,3,140,380,37.2%
England,E02005607,3,260,760,33.9%
England,E02005608,3,195,495,39.1%
England,E02005609,2,95,335,28.5%
England,E02005610,2,140,490,28.7%
England,E02005611,2,150,585,25.5%
England,E02005612,3,165,480,34.7%
England,E02005613,1,140,665,20.8%
England,E02005614,2,115,395,29.2%
England,E02005615,2,155,625,24.9%
England,E02005616,1,85,445,19.4%
England,E02005617,1,130,770,16.8%
England,E02005619,5,235,430,53.9%
England,E02005620,4,305,620,48.9%
England,E02005621,4,195,465,42.1%
England,E02005622,5,345,630,54.8%
England,E02005623,5,290,580,49.5%
England,E02005624,2,180,645,27.8%
England,E02005625,1,135,580,23.3%
England,E02005626,1,110,580,18.8%
England,E02005627,3,165,420,39.1%
England,E02005628,4,235,500,46.8%
England,E02005629,5,195,295,66.9%
England,E02005630,5,395,560,70.2%
England,E02005631,4,295,685,42.9%
England,E02005632,4,180,365,49.3%
England,E02005633,2,200,650,30.8%
England,E02005634,2,155,585,26.9%
England,E02005635,3,185,545,34.2%
England,E02005636,2,190,710,26.9%
England,E02005637,1,105,535,19.7%
England,E02005638,3,220,700,31.6%
England,E02005639,5,160,310,51.2%
England,E02005640,2,200,670,30.1%
England,E02005641,2,150,545,27.5%
England,E02005642,4,240,600,40.1%
England,E02005643,1,95,720,13.4%
England,E02005644,2,110,435,25.0%
England,E02005645,3,215,560,38.7%
England,E02005646,3,135,420,31.8%
England,E02005647,2,120,440,26.9%
England,E02005648,4,265,600,44.2%
England,E02005649,3,315,930,33.8%
England,E02005650,3,135,400,34.0%
England,E02005651,3,160,420,38.4%
England,E02005652,2,110,390,28.5%
England,E02005653,1,145,610,23.3%
England,E02005654,1,150,665,22.5%
England,E02005655,3,145,385,37.4%
England,E02005656,2,135,505,26.3%
England,E02005657,3,110,315,35.2%
England,E02005658,1,85,435,20.1%
England,E02005659,2,105,370,28.5%
England,E02005660,1,110,495,22.0%
England,E02005661,1,120,565,20.8%
England,E02005662,3,150,415,36.1%
England,E02005663,3,105,320,32.4%
England,E02005664,3,100,285,35.2%
England,E02005665,3,190,525,36.4%
England,E02005666,1,90,565,15.7%
England,E02005667,2,95,365,25.3%
England,E02005668,2,115,365,31.1%
England,E02005669,5,255,420,60.5%
England,E02005670,2,75,260,29.8%
England,E02005671,4,130,315,40.6%
England,E02005672,3,85,265,31.9%
England,E02005673,3,90,255,35.1%
England,E02005674,4,110,250,44.8%
England,E02005675,1,80,445,17.6%
England,E02005676,1,85,420,19.9%
England,E02005677,3,145,400,35.6%
England,E02005678,4,210,490,43.3%
England,E02005679,4,260,625,41.5%
England,E02005680,4,325,710,46.2%
England,E02005681,4,255,640,39.5%
England,E02005682,5,205,405,50.2%
England,E02005683,3,325,880,36.9%
England,E02005684,5,300,550,54.0%
England,E02005685,3,190,560,34.0%
England,E02005686,5,275,510,53.5%
England,E02005687,5,205,335,60.6%
England,E02005688,4,225,550,41.0%
England,E02005689,4,280,635,44.0%
England,E02005690,3,125,335,37.0%
England,E02005691,5,190,355,53.6%
England,E02005692,3,135,430,31.6%
England,E02005693,2,170,580,29.0%
England,E02005694,4,245,615,39.5%
England,E02005695,2,120,415,29.3%
England,E02005696,1,80,475,16.6%
England,E02005697,3,110,315,34.0%
England,E02005698,2,125,420,30.0%
England,E02005699,1,135,615,21.6%
